#{"t_start": 1786422801.8976715, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,curriculum_ceiling,curriculum_rehearsal,curriculum_rotation_progress,curriculum_translation_progress,episode_shell_outer_m,episode_target_tumble_scale
-8.72247,1698,3537.065794,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.241353,834,3555.924332,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.51291,1085,3580.913923,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-23.131888,2000,3627.070573,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.216513,1301,3658.225835,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.142418,434,3668.604803,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.327657,1043,3692.472734,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.392362,1197,3720.37112,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.142084,1347,3751.802075,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-52.819577,2000,3798.308095,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-62.51885,1605,3835.513405,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-62.12322,1656,3875.457098,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.311556,832,3894.389439,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.838519,1629,3932.291709,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-36.443788,2000,3978.202907,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-53.605119,2000,4027.681796,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
0.499955,194,4032.43498,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.453208,552,4046.257136,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.954186,641,4062.227992,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-61.050582,1831,4105.456817,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-60.846984,1420,4138.088096,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-67.446659,1752,4177.366023,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-57.467265,1330,4207.633986,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-58.869207,2000,4252.161463,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-52.25374,2000,4297.005219,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-52.350498,1315,4327.305099,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-58.711937,2000,4375.345569,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-53.282892,1423,4409.439161,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-72.790015,1826,4453.280168,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-54.310898,2000,4501.571708,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-51.744092,2000,4549.198167,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-37.642772,2000,4596.668833,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-31.14732,2000,4642.906157,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.98419,616,4656.697348,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
0.652253,353,4664.861103,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-36.873685,2000,4713.240085,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-29.481251,2000,4760.878366,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.556571,670,4776.847289,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-15.115246,2000,4823.790317,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.134123,1238,4851.74248,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-22.315202,2000,4897.078824,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-49.088767,2000,4942.965481,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.406042,535,4955.975832,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-28.06288,2000,5003.202511,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.723162,715,5019.726291,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-9.517564,1567,5056.137482,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
0.918271,356,5064.291589,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-12.116435,1661,5102.437087,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.363748,656,5117.486853,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.609913,513,5129.324116,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-9.88264,1335,5159.901359,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.876919,1217,5187.885043,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.438735,540,5200.213748,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.242851,1136,5226.727596,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
0.268058,456,5237.24136,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.539629,1033,5262.166577,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.815097,674,5278.400448,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-13.00387,2000,5325.820164,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.421153,1001,5348.567657,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-50.006312,1113,5373.346812,False,True,False,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
0.71968,549,5385.657612,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
0.18187,638,5401.057225,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.360662,549,5415.04801,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-5.282489,1709,5454.391426,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.210395,732,5470.941211,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-6.799048,1090,5496.468796,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.310132,412,5506.162374,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-11.943291,1260,5535.288517,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.658065,658,5550.919618,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-15.907666,1832,5595.193542,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.606732,1460,5627.990926,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.063718,380,5636.363145,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.504447,340,5644.744601,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
0.246526,323,5652.366633,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-48.920084,2000,5696.817496,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.276092,1285,5725.543149,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-12.375582,1484,5758.230065,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-5.633243,2000,5802.087447,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.633862,2000,5847.526395,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-0.65876,437,5857.480351,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-5.811411,1568,5893.590882,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
0.648319,390,5902.412034,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-5.618274,2000,5947.531322,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.619902,2000,5992.774779,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.409573,2000,6041.567339,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-51.721331,2000,6091.442635,False,False,True,False,False,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.520765,2000,6140.724253,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-2.647728,2000,6187.93339,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.221726,891,6207.771193,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-3.421507,2000,6252.37543,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
0.610715,320,6259.662915,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.185731,1261,6288.615859,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-4.487181,2000,6334.382784,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.544239,2000,6378.351395,False,False,True,False,True,False,0.0,0.0,False,0.0,0.0,3.0,0.25
1.304056,390,6387.167756,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
-1.052229,594,6400.378885,True,False,False,True,True,True,0.0,0.0,False,0.0,0.0,3.0,0.25
