#{"t_start": 1786364711.465195, "env_id": "None"}
r,l,t,completed,distance_failure,time_failure,joint_success,position_success,attitude_success,curriculum_progress,episode_shell_outer_m,episode_target_tumble_scale
-3.07408,647,4601.449938,True,False,False,True,True,True,0.29885285714285714,5.09197,0.25
-57.079897,1831,4629.119029,False,True,False,False,False,False,0.29977714285714285,5.09844,0.25
-5.701621,781,4640.843571,True,False,False,True,True,True,0.30239285714285713,5.11675,0.25
-12.173988,1734,4666.673227,True,False,False,True,True,True,0.3035085714285714,5.12456,0.25
-43.37404,875,4678.686902,False,True,False,False,False,False,0.3059857142857143,5.1419,0.25
-40.393009,750,4689.219669,False,True,False,False,False,False,0.3072357142857143,5.150650000000001,0.25
-60.712387,1823,4714.242124,False,True,False,False,False,False,0.30830714285714284,5.15815,0.25
-60.916172,1616,4736.149201,False,True,False,False,False,False,0.31091142857142856,5.17638,0.25
-17.672336,2000,4763.320513,False,False,True,False,False,False,0.31322,5.19254,0.25
-55.391729,1377,4782.448601,False,True,False,False,False,False,0.31607714285714283,5.212540000000001,0.25
-55.064461,1354,4801.107265,False,True,False,False,False,False,0.3180442857142857,5.22631,0.25
-50.519933,2000,4828.216531,False,False,True,False,False,False,0.31997857142857145,5.239850000000001,0.25
-64.57743,1825,4852.629784,False,True,False,False,False,False,0.3228357142857143,5.25985,0.25
-49.758107,932,4865.17509,False,True,False,False,False,False,0.32544285714285714,5.2781,0.25
-55.691855,1280,4882.729692,False,True,False,False,False,False,0.32677428571428574,5.28742,0.25
-58.529395,1336,4900.908225,False,True,False,False,False,False,0.32860285714285714,5.3002199999999995,0.25
-66.740139,1683,4923.664144,False,True,False,False,False,False,0.33051142857142857,5.31358,0.25
-32.538426,479,4930.443746,False,True,False,False,False,False,0.33291571428571426,5.33041,0.25
-45.007349,867,4948.527151,False,True,False,False,False,False,0.3336,5.3352,0.375
-40.110179,671,4957.491543,False,True,False,False,False,False,0.33483857142857143,5.343870000000001,0.375
-51.745768,1259,4974.471509,False,True,False,False,False,False,0.33579714285714285,5.35058,0.375
-46.662112,910,4986.731231,False,True,False,False,False,False,0.3375957142857143,5.36317,0.375
-50.696408,1255,5004.393002,False,True,False,False,False,False,0.3388957142857143,5.37227,0.375
-43.351897,912,5017.035574,False,True,False,False,False,False,0.34068857142857145,5.38482,0.375
-64.851804,2000,5044.56826,False,False,True,False,False,False,0.34199142857142856,5.39394,0.375
-56.694123,1523,5065.605519,False,True,False,False,False,False,0.34484857142857145,5.41394,0.375
