#{"t_start": 1786681442.674876, "env_id": "None"}
r,l,t,completed,gate_reached,constraint_success,distance_failure,time_failure,mission_phase,phase1_curriculum_difficulty,phase1_curriculum_full_sample
4.946752,39,243.116193,True,True,True,False,False,0,0.04,False
4.334143,47,243.666262,True,True,True,False,False,0,0.04,False
4.769795,33,244.052968,True,True,True,False,False,0,0.04,False
4.757155,41,244.508343,True,True,True,False,False,0,0.04,False
4.608893,49,245.073842,True,True,True,False,False,0,0.04,False
4.64485,43,245.55387,True,True,True,False,False,0,0.04,False
4.765315,29,245.878284,True,True,True,False,False,0,0.04,False
4.863027,45,246.375343,True,True,True,False,False,0,0.04,False
4.804695,42,246.894132,True,True,True,False,False,0,0.04,False
4.426962,49,247.570608,True,True,True,False,False,0,0.04,False
4.459542,53,248.144459,True,True,True,False,False,0,0.04,False
4.892068,32,248.489767,True,True,True,False,False,0,0.04,False
4.770969,47,248.992777,True,True,True,False,False,0,0.04,False
4.828284,47,249.516835,True,True,True,False,False,0,0.04,False
4.937212,40,249.963164,True,True,True,False,False,0,0.04,False
4.917493,26,250.250311,True,True,True,False,False,0,0.04,False
4.868604,53,250.912175,True,True,True,False,False,0,0.04,False
4.866942,39,251.376928,True,True,True,False,False,0,0.04,False
4.888695,38,251.780056,True,True,True,False,False,0,0.045,False
4.976378,38,252.217675,True,True,True,False,False,0,0.045,False
4.875808,45,252.670565,True,True,True,False,False,0,0.045,False
4.884053,29,253.018536,True,True,True,False,False,0,0.045,False
4.704021,53,253.584229,True,True,True,False,False,0,0.045,False
4.910303,43,254.175815,True,True,True,False,False,0,0.045,False
4.85956,54,254.758159,True,True,True,False,False,0,0.045,False
4.798701,40,255.208997,True,True,True,False,False,0,0.045,False
4.400556,51,255.76248,True,True,True,False,False,0,0.045,False
4.813965,38,256.182161,True,True,True,False,False,0,0.045,False
4.642807,43,256.68533,True,True,True,False,False,0,0.045,False
4.836154,37,257.090096,True,True,True,False,False,0,0.045,False
4.513358,38,257.520972,True,True,True,False,False,0,0.045,False
4.253672,53,258.108368,True,True,True,False,False,0,0.045,False
-37.650351,777,268.296125,False,False,True,False,False,0,0.045,False
-20.73257,283,275.287049,False,False,True,False,False,0,0.045,False
-27.376967,414,280.867781,False,False,True,False,False,0,0.045,False
-25.783261,325,284.511161,False,False,True,False,False,0,0.045,False
-26.508821,386,288.748599,False,False,True,False,False,0,0.045,False
-27.446551,438,293.727828,False,False,True,False,False,0,0.045,False
-26.318322,474,299.153225,False,False,True,False,False,0,0.045,False
-24.024926,222,301.720319,False,False,True,False,False,0,0.045,False
4.198525,35,302.126663,True,True,True,False,False,0,0.045,False
3.878666,53,302.699087,True,True,True,False,False,0,0.045,False
4.416567,29,303.079636,True,True,True,False,False,0,0.045,False
4.153621,41,303.532266,True,True,True,False,False,0,0.045,False
4.285769,44,304.018651,True,True,True,False,False,0,0.045,False
-24.255161,253,306.933824,False,False,True,False,False,0,0.045,False
-25.145138,289,310.272429,False,False,True,False,False,0,0.045,False
-24.744343,275,313.360917,False,False,True,False,False,0,0.045,False
-25.752898,296,316.529537,False,False,True,False,False,0,0.045,False
4.646083,47,317.075541,True,True,True,False,False,0,0.045,False
-25.995353,309,320.554841,False,False,True,False,False,0,0.045,False
-25.700171,332,324.329935,False,False,True,False,False,0,0.045,False
-24.120363,247,327.204599,False,False,True,False,False,0,0.045,False
-22.475377,346,331.114845,False,False,True,False,False,0,0.045,False
-38.894809,996,342.415996,False,False,True,False,False,0,0.045,False
-21.236207,166,344.525948,False,False,True,False,False,0,0.045,False
-22.004565,175,346.718044,False,False,True,False,False,0,0.045,False
-22.959441,246,350.041339,False,False,True,False,False,0,0.045,False
-22.165925,197,352.649832,False,False,True,False,False,0,0.04,False
-21.84129,255,356.050339,False,False,True,False,False,0,0.04,False
-23.495436,333,360.106769,False,False,True,False,False,0,0.04,False
-23.919743,354,364.344518,False,False,True,False,False,0,0.04,False
-25.273368,574,370.993194,False,False,True,False,False,0,0.04,False
4.250475,46,371.511838,True,True,True,False,False,0,0.04,False
-35.484743,753,379.968814,False,False,True,True,False,0,0.04,False
-29.966798,614,387.374004,False,False,True,False,False,0,0.04,False
3.478699,107,388.67529,True,True,True,False,False,0,0.04,False
-30.485466,662,396.082681,False,False,True,False,False,0,0.04,False
-43.820949,1095,408.46937,False,False,True,False,False,0,0.04,False
-28.537198,585,415.047938,False,False,True,False,False,0,0.04,False
-21.401711,331,418.884084,False,False,True,False,False,0,0.04,False
-33.812627,732,430.696423,False,False,True,False,False,0,0.04,False
-21.82446,311,434.541457,False,False,True,False,False,0,0.04,False
-31.119979,649,441.854713,False,False,True,False,False,0,0.04,False
-34.154045,694,449.951981,False,False,True,False,False,0,0.04,False
-34.677062,719,459.266445,False,False,True,False,False,0,0.04,False
-26.723562,446,465.587167,False,False,True,False,False,0,0.04,False
-31.231703,531,473.420468,False,False,True,False,False,0,0.04,False
-25.478372,400,478.954656,False,False,True,False,False,0,0.035,False
-25.668122,439,484.341323,False,False,True,False,False,0,0.035,False
-25.861361,381,488.72301,False,False,True,False,False,0,0.035,False
-27.276363,417,493.516355,False,False,True,False,False,0,0.035,False
-20.83571,347,497.632221,False,False,True,False,False,0,0.035,False
-27.935513,428,502.437637,False,False,True,False,False,0,0.035,False
-28.684961,387,506.883213,False,False,True,False,False,0,0.035,False
-28.367803,348,510.755729,False,False,True,False,False,0,0.035,False
-41.430068,1026,522.190066,False,False,True,False,False,0,0.035,False
-25.96153,410,526.71278,False,False,True,False,False,0,0.035,False
-32.422608,528,532.584812,False,False,True,True,False,0,0.035,False
-29.565924,573,539.040975,False,False,True,False,False,0,0.035,False
-28.256242,406,543.524361,False,False,True,False,False,0,0.035,False
-41.405514,1154,556.8275,False,False,True,False,False,0,0.035,False
-29.437621,523,562.975393,False,False,True,False,False,0,0.035,False
-28.18717,454,568.390896,False,False,True,False,False,0,0.035,False
-31.932171,591,610.482171,False,False,True,False,False,0,0.035,False
-26.384528,396,616.163986,False,False,True,False,False,0,0.035,False
-30.162648,522,622.490713,False,False,True,False,False,0,0.035,False
-32.424491,520,628.940428,False,False,True,False,False,0,0.035,False
-34.100765,683,636.974136,False,False,True,True,False,0,0.030000000000000002,False
-27.425877,391,641.511158,False,False,True,False,False,0,0.030000000000000002,False
-25.641053,336,645.356659,False,False,True,False,False,0,1.0,True
-29.211418,441,650.583295,False,False,True,False,False,0,0.030000000000000002,False
-32.089226,525,656.614172,False,False,True,False,False,0,0.030000000000000002,False
-26.123642,337,660.260219,False,False,True,False,False,0,0.030000000000000002,False
-21.064715,301,663.747621,False,False,True,False,False,0,0.030000000000000002,False
4.233006,29,664.074287,True,True,True,False,False,0,0.030000000000000002,False
4.446288,29,664.396487,True,True,True,False,False,0,0.030000000000000002,False
4.171575,36,664.813857,True,True,True,False,False,0,0.030000000000000002,False
4.238235,29,665.153844,True,True,True,False,False,0,0.030000000000000002,False
4.202015,37,665.576714,True,True,True,False,False,0,0.030000000000000002,False
4.043806,38,665.990691,True,True,True,False,False,0,0.030000000000000002,False
4.434116,27,666.298682,True,True,True,False,False,0,0.030000000000000002,False
4.430105,25,666.55799,True,True,True,False,False,0,0.030000000000000002,False
4.255455,40,667.110743,True,True,True,False,False,0,0.030000000000000002,False
4.337304,32,667.463898,True,True,True,False,False,0,0.030000000000000002,False
4.506966,23,667.704865,True,True,True,False,False,0,0.030000000000000002,False
4.369626,22,667.954859,True,True,True,False,False,0,0.030000000000000002,False
4.417068,25,668.255356,True,True,True,False,False,0,0.030000000000000002,False
4.44385,25,668.531804,True,True,True,False,False,0,0.030000000000000002,False
4.55836,23,668.784361,True,True,True,False,False,0,0.030000000000000002,False
4.064682,30,669.132,True,True,True,False,False,0,0.030000000000000002,False
4.317073,36,669.558287,True,True,True,False,False,0,0.030000000000000002,False
4.070211,42,670.049798,True,True,True,False,False,0,0.030000000000000002,False
4.514222,27,670.340107,True,True,True,False,False,0,0.030000000000000002,False
4.158611,33,670.749687,True,True,True,False,False,0,0.030000000000000002,False
4.520352,22,670.989623,True,True,True,False,False,0,0.030000000000000002,False
4.249471,40,671.471406,True,True,True,False,False,0,0.030000000000000002,False
4.580662,27,671.771987,True,True,True,False,False,0,0.030000000000000002,False
4.588063,24,672.040363,True,True,True,False,False,0,0.030000000000000002,False
4.419844,41,672.507977,True,True,True,False,False,0,0.030000000000000002,False
4.558512,26,672.801681,True,True,True,False,False,0,0.030000000000000002,False
4.545182,32,673.173708,True,True,True,False,False,0,0.030000000000000002,False
4.130263,45,673.656176,True,True,True,False,False,0,0.030000000000000002,False
4.24052,34,674.003754,True,True,True,False,False,0,0.030000000000000002,False
4.028216,41,674.44143,True,True,True,False,False,0,0.030000000000000002,False
4.345415,29,674.747141,True,True,True,False,False,0,0.030000000000000002,False
4.331575,30,675.065322,True,True,True,False,False,0,0.030000000000000002,False
4.363765,34,675.448853,True,True,True,False,False,0,0.030000000000000002,False
4.520214,34,675.811136,True,True,True,False,False,0,0.030000000000000002,False
4.571409,29,676.157817,True,True,True,False,False,0,0.035,False
4.343036,40,676.667518,True,True,True,False,False,0,0.035,False
4.575439,21,676.902887,True,True,True,False,False,0,0.035,False
4.382726,32,677.257391,True,True,True,False,False,0,0.035,False
4.403453,27,677.564311,True,True,True,False,False,0,0.035,False
4.466956,44,678.048439,True,True,True,False,False,0,0.035,False
4.406964,40,678.556029,True,True,True,False,False,0,0.035,False
4.365664,33,678.913289,True,True,True,False,False,0,0.035,False
4.460433,26,679.205809,True,True,True,False,False,0,0.035,False
4.22331,36,679.630615,True,True,True,False,False,0,0.035,False
4.394148,32,679.988919,True,True,True,False,False,0,0.035,False
4.25058,42,680.505718,True,True,True,False,False,0,0.035,False
4.322059,37,680.919703,True,True,True,False,False,0,0.035,False
-20.424372,159,682.566323,False,False,True,False,False,0,0.035,False
4.161934,34,682.93298,True,True,True,False,False,0,0.035,False
4.66258,28,683.315272,True,True,True,False,False,0,0.035,False
4.585342,34,683.749641,True,True,True,False,False,0,0.035,False
4.640022,27,684.110675,True,True,True,False,False,0,0.035,False
4.513627,37,684.603571,True,True,True,False,False,0,0.035,False
4.742493,25,684.874711,True,True,True,False,False,0,0.035,False
4.492111,31,685.249746,True,True,True,False,False,0,0.04,False
4.641948,42,685.734958,True,True,True,False,False,0,0.04,False
4.687035,36,686.13272,True,True,True,False,False,0,0.04,False
4.594001,40,686.608081,True,True,True,False,False,0,0.04,False
-20.213206,165,688.333007,False,False,True,False,False,0,0.04,False
4.071103,34,688.698206,True,True,True,False,False,0,0.04,False
4.638785,26,688.991068,True,True,True,False,False,0,0.04,False
4.455254,37,689.41373,True,True,True,False,False,0,0.04,False
-20.391773,168,691.357953,False,False,True,False,False,0,0.04,False
4.585065,37,691.764155,True,True,True,False,False,0,0.04,False
-26.742994,378,695.904077,False,False,True,False,False,0,0.04,False
4.44986,25,696.165338,True,True,True,False,False,0,0.04,False
4.364296,33,696.532943,True,True,True,False,False,0,0.04,False
4.315308,31,696.881865,True,True,True,False,False,0,0.04,False
4.549124,25,697.163037,True,True,True,False,False,0,0.04,False
